,日期,第一號碼,第二號碼,第三號碼,第四號碼,第五號碼,第六號碼,特別碼
0,103/01/31,38,17,23,49,48,27,19
1,103/01/30,09,22,49,48,45,44,08
2,103/01/28,02,30,07,26,05,01,24
3,103/01/24,04,20,29,41,45,01,36
4,103/01/21,22,43,12,44,38,15,09
5,103/01/17,20,29,13,15,26,36,37
6,103/01/14,11,49,02,45,41,21,26
7,103/01/10,07,19,17,30,37,32,03
8,103/01/07,01,07,25,36,21,35,39
9,103/01/03,11,35,21,18,37,20,08
10,103/02/28,17,24,13,18,32,28,37
11,103/02/25,13,09,05,03,46,12,04
12,103/02/21,11,12,23,40,28,48,09
13,103/02/18,47,19,06,26,32,20,35
14,103/02/14,24,10,48,33,20,19,01
15,103/02/11,15,31,21,06,44,22,41
16,103/02/07,22,05,28,11,21,12,25
17,103/02/04,19,46,32,12,42,08,28
18,103/02/03,02,16,27,30,17,01,48
19,103/02/02,14,45,03,24,19,13,05
20,103/02/01,36,37,13,19,09,06,27
21,103/03/28,09,18,23,36,47,35,41
22,103/03/25,19,25,47,42,30,23,16
23,103/03/21,47,26,46,08,31,18,20
24,103/03/18,26,40,35,39,12,28,16
25,103/03/14,47,08,40,41,27,02,28
26,103/03/11,40,20,15,16,13,43,14
27,103/03/07,38,26,06,37,18,30,16
28,103/03/04,43,08,40,35,37,26,06
29,103/04/29,02,46,09,44,30,27,22
30,103/04/25,46,24,34,04,38,35,30
31,103/04/22,18,37,20,11,12,15,42
32,103/04/18,08,48,15,40,09,44,24
33,103/04/15,26,44,24,08,35,05,41
34,103/04/11,01,03,17,09,12,04,15
35,103/04/08,28,27,17,01,45,14,11
36,103/04/04,08,24,35,37,41,47,23
37,103/04/01,46,18,29,30,47,22,06
38,103/05/30,21,09,17,35,24,30,15
39,103/05/27,26,19,23,10,39,32,16
40,103/05/23,30,11,22,46,17,27,15
41,103/05/20,34,33,30,13,35,06,38
42,103/05/16,45,41,31,42,14,38,29
43,103/05/13,32,20,31,44,29,15,23
44,103/05/09,13,01,27,21,37,11,03
45,103/05/06,10,46,39,35,40,25,31
46,103/05/02,01,25,37,23,07,40,12
47,103/06/27,35,34,36,27,13,21,24
48,103/06/24,14,40,08,01,12,41,15
49,103/06/20,14,36,12,16,33,47,48
50,103/06/17,03,06,20,48,18,25,12
51,103/06/13,28,32,37,42,04,21,16
52,103/06/10,03,32,11,35,33,28,30
53,103/06/06,41,29,47,49,25,40,48
54,103/06/03,31,32,16,44,35,33,46
55,103/07/29,47,36,32,31,44,34,46
56,103/07/25,45,30,21,32,05,35,26
57,103/07/22,28,03,13,09,17,42,14
58,103/07/18,19,15,21,02,30,01,40
59,103/07/15,07,32,18,23,48,34,13
60,103/07/11,07,18,30,01,15,14,33
61,103/07/08,33,10,39,22,47,25,38
62,103/07/04,48,14,24,17,27,03,28
63,103/07/01,09,21,48,08,07,06,18
64,103/08/29,39,38,21,23,10,09,35
65,103/08/26,23,32,43,19,01,17,09
66,103/08/22,43,08,23,30,16,31,18
67,103/08/19,12,19,06,07,14,09,17
68,103/08/15,47,46,29,23,18,48,05
69,103/08/12,12,10,06,04,34,45,44
70,103/08/08,32,42,26,45,38,31,37
71,103/08/05,40,11,26,33,04,42,34
72,103/08/01,45,08,21,32,05,23,18
73,103/09/30,49,41,18,47,36,35,15
74,103/09/26,15,19,29,22,37,08,39
75,103/09/23,38,28,20,32,02,11,16
76,103/09/19,06,17,29,02,32,39,04
77,103/09/16,41,19,07,18,16,12,45
78,103/09/12,27,49,02,36,31,23,15
79,103/09/09,42,49,21,41,29,23,14
80,103/09/05,16,25,32,10,36,27,45
81,103/09/02,39,36,43,07,08,42,22
82,103/10/31,14,08,27,49,10,02,20
83,103/10/28,16,32,25,05,37,44,21
84,103/10/24,36,01,20,45,17,37,15
85,103/10/21,31,44,42,28,14,38,45
86,103/10/17,32,36,33,02,20,11,39
87,103/10/14,47,36,20,09,14,10,08
88,103/10/10,11,26,01,24,28,19,33
89,103/10/07,45,40,17,47,18,41,29
90,103/10/03,10,14,19,37,24,35,39
91,103/11/28,35,44,01,40,10,21,36
92,103/11/25,15,32,16,01,44,48,40
93,103/11/21,03,32,02,34,26,22,40
94,103/11/18,12,20,43,11,28,26,06
95,103/11/14,44,15,41,29,16,34,49
96,103/11/11,18,23,11,36,05,43,14
97,103/11/07,49,25,40,27,19,11,33
98,103/11/04,20,38,03,35,30,41,47
99,103/12/30,48,49,07,44,32,30,45
100,103/12/26,49,32,42,45,09,27,30
101,103/12/23,32,39,03,31,30,27,35
102,103/12/19,09,01,24,41,32,49,40
103,103/12/16,35,45,34,32,17,28,08
104,103/12/12,24,08,29,32,07,48,37
105,103/12/09,41,23,09,07,43,33,24
106,103/12/05,47,30,11,34,37,18,17
107,103/12/02,11,26,42,13,09,23,47
108,104/01/30,35,14,24,39,03,44,28
109,104/01/27,45,04,27,15,09,21,06
110,104/01/23,20,16,39,42,38,08,29
111,104/01/20,47,35,28,45,09,24,48
112,104/01/16,02,46,17,32,38,28,49
113,104/01/13,46,14,22,37,02,16,49
114,104/01/09,18,07,24,21,23,08,11
115,104/01/06,16,37,43,11,30,29,13
116,104/01/02,31,23,48,29,22,13,06
117,104/02/27,02,06,43,38,27,34,45
118,104/02/24,46,39,28,03,48,41,09
119,104/02/23,21,20,43,38,32,14,23
120,104/02/22,06,03,12,37,34,43,28
121,104/02/21,27,17,40,02,11,05,20
122,104/02/20,10,45,29,05,09,28,41
123,104/02/19,25,40,07,49,31,27,11
124,104/02/18,15,27,06,16,03,31,14
